SampleID;ASV;Count;Group;Type;Substrate;Density;Replicate;Kingdom;Phylum;Class;Order;Family;Genus
FN000.1;ASV204;0;FN000;food waste;sorb-;0;1;Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;
FN000.1;ASV219;0;FN000;food waste;sorb-;0;1;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Alcaligenaceae;Achromobacter
FN000.1;ASV221;0;FN000;food waste;sorb-;0;1;Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lacticaseibacillus
FN000.1;ASV222;0;FN000;food waste;sorb-;0;1;Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Arenimonas
FN000.1;ASV223;0;FN000;food waste;sorb-;0;1;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas
FN000.1;ASV225;0;FN000;food waste;sorb-;0;1;Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Weissella
FN000.1;ASV227;0;FN000;food waste;sorb-;0;1;Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;
FN000.1;ASV228;0;FN000;food waste;sorb-;0;1;Bacteria;Firmicutes;Bacilli;Alicyclobacillales;Alicyclobacillaceae;Alicyclobacillus
FN000.1;ASV230;0;FN000;food waste;sorb-;0;1;Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Family XI;Anaerococcus
FN000.1;ASV232;0;FN000;food waste;sorb-;0;1;Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Clostridiisalibacter;
FN000.1;ASV257;0;FN000;food waste;sorb-;0;1;Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Micrococcaceae;Pseudarthrobacter
FN000.1;ASV258;0;FN000;food waste;sorb-;0;1;Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Oceanobacillus
FN000.1;ASV259;0;FN000;food waste;sorb-;0;1;Bacteria;Verrucomicrobiota;Verrucomicrobiae;Pedosphaerales;Pedosphaeraceae;ADurb.Bin063-1
FN000.1;ASV261;0;FN000;food waste;sorb-;0;1;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Enhydrobacter
FN000.1;ASV263;0;FN000;food waste;sorb-;0;1;Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium sensu stricto 18
FN000.1;ASV265;0;FN000;food waste;sorb-;0;1;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Pasteurellaceae;Haemophilus
FN000.1;ASV266;0;FN000;food waste;sorb-;0;1;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;
FN000.1;ASV267;0;FN000;food waste;sorb-;0;1;Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Nakamurellaceae;Nakamurella
FN000.1;ASV269;0;FN000;food waste;sorb-;0;1;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;
FN000.1;ASV270;0;FN000;food waste;sorb-;0;1;Bacteria;Actinobacteriota;Actinobacteria;Streptomycetales;Streptomycetaceae;Streptomyces
FN000.1;ASV271;0;FN000;food waste;sorb-;0;1;Bacteria;Firmicutes;Bacilli;Acholeplasmatales;Acholeplasmataceae;Candidatus Phytoplasma
FN000.1;ASV272;0;FN000;food waste;sorb-;0;1;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides
FN000.1;ASV275;0;FN000;food waste;sorb-;0;1;Bacteria;Firmicutes;Negativicutes;Veillonellales-Selenomonadales;Veillonellaceae;Dialister
FN000.1;ASV277;0;FN000;food waste;sorb-;0;1;Bacteria;Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae;
FN000.1;ASV280;0;FN000;food waste;sorb-;0;1;Bacteria;Actinobacteriota;Actinobacteria;Streptomycetales;Streptomycetaceae;Streptomyces
FN000.1;ASV314;1;FN000;food waste;sorb-;0;1;Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Arenimonas
FN000.1;ASV318;0;FN000;food waste;sorb-;0;1;Bacteria;Chloroflexi;Chloroflexia;Thermomicrobiales;JG30-KF-CM45;
FN000.1;ASV319;0;FN000;food waste;sorb-;0;1;Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Arenimonas
FN000.1;ASV323;0;FN000;food waste;sorb-;0;1;Bacteria;Gemmatimonadota;Gemmatimonadetes;Gemmatimonadales;Gemmatimonadaceae;
FN000.1;ASV326;0;FN000;food waste;sorb-;0;1;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiales Incertae Sedis;Nordella
FN000.1;ASV328;0;FN000;food waste;sorb-;0;1;Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;
FN000.1;ASV329;0;FN000;food waste;sorb-;0;1;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Oxalobacteraceae;
FN000.1;ASV331;0;FN000;food waste;sorb-;0;1;Bacteria;Proteobacteria;Gammaproteobacteria;Steroidobacterales;Woeseiaceae;Woeseia
FN000.1;ASV333;0;FN000;food waste;sorb-;0;1;Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;
FN000.1;ASV334;0;FN000;food waste;sorb-;0;1;Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;
FN000.1;ASV336;0;FN000;food waste;sorb-;0;1;Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Weeksellaceae;Empedobacter
